adults,children,babies,meal,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
2,0,0,BB,0,2,Check-Out,8/10/15
2,1,0,HB,0,0,Check-Out,8/10/15
2,0,0,BB,0,1,Check-Out,8/10/15
2,1,0,HB,0,2,Check-Out,8/10/15
2,0,0,HB,0,2,Check-Out,8/10/15
1,0,0,HB,0,0,Check-Out,8/10/15
2,0,0,HB,0,0,Check-Out,8/10/15
2,0,0,HB,0,1,Check-Out,8/10/15
2,0,0,BB,0,0,Check-Out,8/10/15
3,0,0,BB,0,3,Check-Out,8/10/15
2,0,0,BB,0,0,Check-Out,8/10/15
2,0,0,HB,0,0,Check-Out,8/10/15
2,0,0,BB,1,0,Check-Out,8/10/15
2,0,0,BB,0,0,Check-Out,8/10/15
2,0,0,BB,0,1,Check-Out,8/10/15
2,0,0,BB,0,0,Check-Out,8/10/15
2,1,0,BB,0,2,Check-Out,8/10/15
2,0,0,BB,0,1,Check-Out,8/10/15
4,0,0,BB,0,0,Canceled,8/10/15
2,0,0,BB,1,1,Check-Out,8/10/15
3,0,0,BB,0,2,Check-Out,8/10/15
2,1,0,BB,0,1,Check-Out,8/10/15
2,0,0,BB,0,2,Check-Out,8/10/15
1,1,0,BB,0,1,Check-Out,8/10/15
2,0,0,HB,0,2,Check-Out,8/10/15
3,0,0,BB,0,2,Check-Out,8/10/15
2,0,0,BB,0,2,Check-Out,8/10/15
2,0,1,HB,0,2,Check-Out,8/10/15
2,0,0,FB,0,0,Check-Out,8/10/15
2,2,0,HB,0,0,Canceled,8/10/15
2,0,0,BB,0,0,Check-Out,8/10/15
2,0,0,BB,0,3,Check-Out,5/8/17
2,0,0,BB,0,0,Check-Out,8/11/15
2,1,0,FB,1,2,Check-Out,8/17/15
2,0,0,BB,1,2,Check-Out,8/11/15
2,0,0,BB,0,0,Check-Out,8/11/15
2,0,0,HB,0,1,Check-Out,8/11/15
2,0,0,BB,0,1,Check-Out,8/11/15
2,0,0,BB,0,1,Check-Out,8/11/15
2,0,0,HB,2,1,Check-Out,8/11/15
2,0,0,BB,0,1,Check-Out,8/11/15
2,0,0,BB,0,1,Check-Out,8/11/15
2,0,0,BB,0,2,Check-Out,8/11/15
2,0,0,BB,0,0,Check-Out,8/11/15
3,0,0,BB,0,0,Check-Out,8/11/15
2,0,0,HB,0,1,Check-Out,8/11/15
2,0,0,HB,0,1,Check-Out,8/11/15
3,0,0,BB,0,1,Check-Out,8/11/15
2,0,0,BB,0,1,Check-Out,8/12/15
2,0,0,BB,0,1,Check-Out,8/12/15
2,0,0,BB,0,0,Check-Out,8/12/15
2,0,0,BB,0,1,Check-Out,8/12/15
2,0,0,BB,1,2,Check-Out,8/12/15
2,0,0,BB,0,0,Check-Out,8/12/15
2,0,0,HB,0,3,Check-Out,8/12/15
2,0,1,HB,1,1,Check-Out,8/12/15
2,0,0,HB,1,0,Check-Out,8/12/16
2,0,0,HB,1,1,Check-Out,8/12/15
2,0,0,BB,0,1,Check-Out,8/12/15
2,1,0,BB,0,0,Check-Out,8/12/15
2,0,0,BB,0,1,Check-Out,8/12/15
2,2,0,BB,0,3,Check-Out,8/12/15
2,0,0,BB,0,1,Check-Out,8/12/15
2,0,0,BB,0,0,Canceled,8/12/15
2,0,0,BB,0,0,Canceled,8/12/15
2,0,0,BB,0,0,Canceled,8/12/15
2,0,0,BB,0,0,Canceled,8/12/15
2,0,0,BB,0,0,Canceled,8/12/15
2,0,0,BB,0,0,Canceled,8/12/15
2,0,0,HB,0,1,Check-Out,8/12/15
2,0,0,HB,0,0,Canceled,8/12/15
2,0,0,HB,0,0,Canceled,8/12/15
2,0,0,HB,0,0,Canceled,8/12/15
2,0,0,BB,0,0,Check-Out,8/13/15
2,0,0,BB,0,1,Check-Out,8/13/15
2,1,0,BB,0,2,Check-Out,8/13/15
1,0,0,BB,1,0,Check-Out,8/13/15
2,0,0,BB,0,1,Check-Out,8/13/15
2,0,0,BB,0,1,Check-Out,8/13/15
2,0,0,BB,1,0,Check-Out,8/13/15
2,0,0,HB,0,1,Check-Out,8/13/15
2,0,0,HB,0,1,Check-Out,8/13/15
2,0,0,BB,0,1,Check-Out,8/13/15
2,0,0,HB,0,2,Check-Out,8/13/15
2,0,0,BB,1,2,Check-Out,8/13/15
2,0,0,BB,0,0,Check-Out,8/13/15
2,0,0,BB,0,1,Check-Out,8/13/15
2,0,0,BB,0,0,Check-Out,8/13/15
2,0,0,BB,0,1,Check-Out,8/13/15
2,0,0,BB,0,1,Check-Out,8/13/15
2,0,0,HB,0,1,Check-Out,8/13/15
2,0,0,BB,0,1,Check-Out,8/14/15
2,0,0,BB,0,1,Check-Out,8/14/15
2,0,0,BB,0,1,Check-Out,8/14/15
2,0,0,HB,0,2,Check-Out,8/14/15
2,0,0,HB,0,2,Check-Out,8/14/15
2,0,0,HB,1,1,Check-Out,8/14/15
2,0,0,HB,0,1,Check-Out,8/14/15
2,0,0,BB,0,3,Check-Out,8/14/15
2,0,0,BB,0,0,Check-Out,8/14/15
3,0,0,HB,0,1,Check-Out,8/14/15
2,0,0,HB,0,1,Check-Out,8/14/15
2,0,0,HB,0,1,Check-Out,8/14/15
2,0,0,BB,1,2,Check-Out,8/14/15
1,0,0,BB,0,1,Check-Out,8/14/15
2,0,0,BB,0,1,Check-Out,8/14/15
2,0,0,BB,0,0,Check-Out,8/14/15
2,0,0,BB,0,0,Check-Out,8/14/15
2,0,0,HB,0,1,Check-Out,8/14/15
2,0,0,BB,0,2,Check-Out,8/14/15
2,1,0,HB,1,1,Check-Out,8/14/15
2,0,0,BB,0,1,Check-Out,8/14/15
2,0,0,BB,0,0,Check-Out,8/15/15
2,0,0,BB,1,1,Check-Out,8/15/15
2,0,0,BB,0,2,Check-Out,8/15/15
2,0,0,HB,0,0,Check-Out,8/15/15
2,1,0,BB,0,1,Check-Out,8/15/15
2,0,0,HB,1,2,Check-Out,8/15/15
2,0,0,BB,1,1,Check-Out,8/15/15
1,0,0,BB,0,0,Check-Out,8/15/15
3,0,0,BB,0,0,Check-Out,8/15/15
2,0,0,BB,0,1,Check-Out,8/15/15
2,0,0,HB,1,0,Check-Out,8/15/15
2,0,0,BB,0,1,Check-Out,8/15/15
2,0,1,HB,0,2,Check-Out,8/15/15
2,0,1,BB,0,1,Check-Out,8/15/15
2,0,0,HB,0,1,Check-Out,8/15/15
2,1,0,HB,0,2,Check-Out,8/15/15
2,0,0,HB,0,0,Check-Out,8/15/15
2,0,0,HB,1,0,Check-Out,8/30/15
2,0,0,HB,1,0,Check-Out,8/15/15
2,0,0,BB,0,1,Check-Out,8/15/15
2,1,1,BB,1,0,Check-Out,8/15/15
2,0,0,BB,0,0,Check-Out,8/15/15
2,2,0,BB,0,0,Check-Out,8/15/15
2,1,0,BB,0,1,Check-Out,8/15/15
2,2,0,BB,0,0,Check-Out,8/15/15
2,0,0,BB,0,0,Check-Out,8/15/15
2,0,0,BB,0,2,Check-Out,8/15/15
2,0,0,BB,0,1,Check-Out,8/15/15
2,0,0,BB,0,0,Check-Out,8/15/15
2,1,0,BB,0,0,Canceled,8/15/15
2,1,1,BB,0,3,Check-Out,8/16/15
3,0,0,BB,0,2,Check-Out,8/16/15
2,1,0,HB,1,2,Check-Out,8/16/15
2,1,0,HB,1,2,Check-Out,8/16/15
2,0,0,BB,1,0,Check-Out,8/16/15
2,0,0,BB,0,1,Check-Out,8/16/15
2,0,0,BB,0,1,Check-Out,8/16/15
2,0,0,BB,0,0,Check-Out,8/16/15
3,0,0,FB,1,2,Check-Out,8/16/15
2,0,0,FB,1,1,Check-Out,8/16/15
3,0,0,FB,0,1,Check-Out,8/16/15
2,1,0,BB,0,3,Check-Out,8/16/15
3,0,0,BB,0,3,Check-Out,7/20/17
2,1,0,BB,0,0,Check-Out,8/16/15
2,1,0,BB,0,2,Check-Out,8/16/15
2,0,0,HB,0,0,Check-Out,8/16/15
2,0,0,BB,0,1,Check-Out,8/21/15
2,0,0,BB,0,1,Check-Out,8/16/15
1,0,0,BB,0,0,Check-Out,8/16/15
2,0,0,HB,0,0,Check-Out,8/16/15
2,0,0,HB,0,1,Check-Out,8/16/15
2,0,0,HB,0,1,Check-Out,8/16/15
2,1,0,BB,0,3,Check-Out,8/16/15
2,1,0,BB,0,2,Check-Out,8/16/15
2,0,0,HB,0,1,Check-Out,8/16/15
2,0,0,BB,0,0,Check-Out,8/16/15
2,0,0,BB,0,1,Check-Out,8/16/15
2,0,0,BB,1,1,Check-Out,8/16/15
2,0,1,BB,0,1,Check-Out,8/16/15
2,0,0,HB,0,0,Check-Out,8/16/15
2,0,0,BB,0,1,Check-Out,8/16/15
3,0,0,BB,0,2,Check-Out,8/16/15
4,0,1,BB,0,1,Check-Out,8/16/15
2,0,0,BB,0,1,Check-Out,8/16/15
2,0,0,BB,0,0,Check-Out,8/16/15
2,0,0,HB,1,1,Check-Out,8/16/15
2,0,0,HB,0,3,Check-Out,8/16/15
2,0,0,HB,0,2,Check-Out,8/16/15
2,0,0,HB,1,2,Check-Out,8/16/15
2,0,0,HB,0,0,Check-Out,8/16/15
2,0,0,BB,0,1,Check-Out,8/17/15
2,0,0,HB,0,0,Check-Out,8/17/15
2,0,0,BB,0,0,Check-Out,8/17/15
2,0,0,BB,0,0,Check-Out,8/17/15
3,0,0,HB,0,0,Check-Out,8/17/15
2,0,0,BB,0,1,Check-Out,8/17/15
2,0,0,BB,0,1,Check-Out,8/17/15
1,0,0,BB,0,0,Check-Out,8/17/15
1,0,0,BB,0,0,Check-Out,8/17/15
2,0,0,HB,0,1,Check-Out,8/17/15
2,0,0,BB,0,0,Check-Out,8/17/15
2,0,0,BB,0,0,Check-Out,8/17/15
1,0,0,BB,0,0,Check-Out,8/17/15
2,0,0,HB,0,1,Check-Out,8/17/15
2,1,0,HB,0,0,Check-Out,8/17/15
2,1,0,HB,0,1,Check-Out,8/17/15
2,0,0,BB,0,3,Check-Out,8/17/15
2,0,0,BB,0,0,Check-Out,8/17/15
2,0,0,BB,0,1,Canceled,8/17/15
1,0,0,BB,0,0,Check-Out,8/17/15
3,0,0,BB,0,1,Check-Out,8/17/15
1,0,0,BB,0,0,Check-Out,8/17/15
1,0,0,BB,0,0,Check-Out,8/17/15
2,0,1,FB,0,1,Check-Out,8/17/15
2,0,0,BB,0,0,Check-Out,8/17/15
2,0,0,BB,0,1,Check-Out,8/17/15
2,0,0,BB,0,1,Check-Out,8/18/15
2,0,0,BB,0,0,Check-Out,8/18/15
2,0,0,BB,0,1,Check-Out,8/18/15
2,0,0,BB,0,1,Check-Out,8/18/15
2,0,0,BB,0,1,Check-Out,8/18/15
2,0,0,BB,0,2,Check-Out,8/18/15
2,0,0,BB,0,2,Check-Out,8/18/15
2,0,0,HB,0,1,Check-Out,8/18/15
2,0,0,BB,0,0,Check-Out,8/18/15
1,0,0,BB,0,0,Check-Out,8/18/15
2,2,0,BB,0,0,Canceled,8/18/15
2,0,0,BB,0,0,Check-Out,8/18/15
2,0,0,HB,0,1,Check-Out,8/18/15
2,2,0,BB,0,0,Check-Out,8/18/15
2,0,0,BB,0,1,Check-Out,8/18/15
2,0,0,BB,0,2,Check-Out,8/18/15
2,0,0,BB,0,0,Check-Out,8/18/15
2,0,0,HB,0,0,Check-Out,8/18/15
2,0,0,BB,0,0,Check-Out,8/19/15
3,0,0,HB,1,2,Check-Out,8/19/15
2,0,0,HB,0,1,Check-Out,8/19/15
2,0,0,HB,0,2,Check-Out,8/19/15
2,0,0,HB,0,2,Check-Out,8/13/17
2,0,1,BB,0,3,Check-Out,8/19/15
2,0,0,HB,0,0,Check-Out,8/19/15
2,0,0,BB,1,1,Check-Out,8/19/15
2,0,0,BB,0,0,Check-Out,8/19/15
1,0,0,BB,0,0,Check-Out,8/28/15
2,0,0,BB,0,0,Check-Out,8/19/15
2,0,0,BB,0,1,Check-Out,8/19/15
2,0,0,BB,1,2,Check-Out,8/22/15
2,0,0,BB,0,2,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/20/15
2,0,0,HB,0,1,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/20/15
2,0,0,BB,0,1,Canceled,8/20/15
2,0,0,HB,0,2,Check-Out,8/20/15
2,1,0,FB,0,1,Check-Out,8/20/15
2,0,0,HB,0,0,Check-Out,8/20/15
2,0,0,BB,0,1,Check-Out,8/20/15
2,0,0,FB,0,0,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/20/15
2,0,0,BB,0,2,Check-Out,8/20/15
2,0,0,HB,0,0,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/20/15
2,0,0,HB,0,2,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/20/15
2,0,1,BB,0,3,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/20/15
2,0,0,HB,1,0,Check-Out,8/20/15
2,0,0,HB,1,0,Check-Out,9/5/16
2,0,0,BB,1,1,Check-Out,8/20/15
2,0,0,BB,0,0,Check-Out,8/21/15
2,0,0,BB,0,0,Check-Out,8/21/15
2,0,0,BB,0,1,Check-Out,8/21/15
2,0,0,BB,0,1,Check-Out,8/21/15
2,0,0,HB,1,0,Check-Out,8/21/15
2,2,0,BB,0,1,Check-Out,8/21/15
2,0,0,HB,1,1,Check-Out,8/21/15
2,0,0,BB,0,0,Check-Out,8/21/15
3,0,0,HB,0,1,Check-Out,8/21/15
2,0,1,HB,0,3,Check-Out,8/21/15
2,0,0,BB,0,0,Check-Out,8/21/15
3,0,0,BB,0,1,Check-Out,8/21/15
3,0,0,BB,0,1,Check-Out,8/21/15
2,0,0,HB,0,1,Check-Out,8/21/15
2,1,0,BB,1,0,Check-Out,8/21/15
3,0,0,BB,0,2,Check-Out,8/21/15
2,0,0,BB,0,2,Check-Out,8/21/15
2,2,0,BB,1,0,Check-Out,8/21/15
2,0,0,HB,0,0,Canceled,8/21/15
2,0,0,HB,0,0,Canceled,8/21/15
2,0,0,HB,0,0,Canceled,8/21/15
2,0,0,HB,0,1,Check-Out,8/22/15
2,0,0,HB,1,1,Check-Out,8/22/15
2,0,0,HB,0,0,Check-Out,8/22/15
2,0,0,BB,0,0,Check-Out,8/22/15
2,0,0,BB,0,1,Check-Out,8/22/15
2,0,0,BB,0,0,Check-Out,8/17/16
2,2,0,BB,0,0,Check-Out,8/22/15
2,0,0,HB,1,0,Check-Out,8/22/15
3,0,0,BB,0,1,Check-Out,8/22/15
2,0,0,HB,0,0,Check-Out,8/22/15
2,0,0,HB,0,2,Check-Out,8/22/15
2,0,0,HB,1,2,Check-Out,8/22/15
2,1,0,HB,1,2,Check-Out,8/22/15
2,0,0,HB,0,0,Check-Out,8/22/15
2,1,0,BB,0,1,Check-Out,8/22/15
2,2,0,BB,0,3,Check-Out,8/22/15
2,0,0,BB,0,2,Check-Out,8/22/15
2,0,0,BB,0,2,Check-Out,8/22/15
2,0,0,BB,1,2,Check-Out,8/22/15
1,0,0,BB,0,1,Check-Out,8/22/15
1,0,0,BB,0,0,Check-Out,8/22/15
2,0,0,BB,0,0,Check-Out,8/22/15
2,0,0,BB,0,0,Check-Out,8/22/15
2,0,0,HB,0,0,Check-Out,8/22/15
2,0,0,BB,0,1,Check-Out,8/22/15
2,0,0,BB,0,1,Check-Out,8/22/15
2,0,0,BB,0,1,Check-Out,8/22/15
2,0,0,BB,0,1,Check-Out,8/22/15
1,0,0,BB,0,0,Check-Out,8/22/15
2,0,0,BB,0,0,Check-Out,8/22/15
2,2,0,BB,1,2,Check-Out,8/22/15
2,2,0,BB,1,0,Check-Out,8/22/15
2,0,0,HB,0,0,No-Show,8/22/15
2,0,0,BB,0,0,Check-Out,8/23/15
3,0,0,BB,0,1,Check-Out,8/23/15
2,0,0,BB,1,3,Check-Out,8/23/15
2,0,0,BB,0,0,Check-Out,8/23/15
2,0,0,HB,0,1,Check-Out,8/23/15
2,0,0,BB,0,1,Check-Out,8/23/15
2,0,0,BB,0,1,Check-Out,8/23/15
2,0,0,BB,0,1,Check-Out,8/23/15
2,0,0,BB,0,1,Check-Out,8/23/15
2,0,0,BB,1,1,Check-Out,8/23/15
2,0,0,HB,0,1,Check-Out,8/23/15
2,0,0,BB,0,1,Check-Out,8/23/15
3,0,0,BB,0,2,Check-Out,8/23/15
3,0,0,BB,0,2,Check-Out,8/23/15
2,0,0,BB,1,1,Check-Out,8/23/15
2,0,0,BB,0,0,Check-Out,8/23/15
2,0,0,BB,0,1,Check-Out,8/23/15
2,0,0,BB,0,0,Check-Out,8/23/15
2,0,0,BB,1,0,Check-Out,8/23/15
3,0,0,BB,0,1,Check-Out,8/23/15
4,0,0,BB,1,0,Check-Out,8/23/15
2,0,0,HB,0,1,Check-Out,8/23/15
2,0,0,BB,0,2,Check-Out,8/23/15
2,0,1,HB,0,1,Check-Out,8/23/15
2,0,0,BB,0,3,Check-Out,8/23/15
2,0,0,BB,0,0,Check-Out,8/23/15
2,0,0,BB,1,0,Check-Out,8/23/15
2,0,0,BB,0,1,Check-Out,8/23/15
2,0,0,FB,0,1,Check-Out,8/24/15
2,0,0,FB,1,1,Check-Out,8/24/15
2,0,0,BB,0,2,Check-Out,8/24/15
2,0,0,BB,0,2,Check-Out,8/24/15
2,0,0,BB,1,1,Check-Out,8/24/15
2,0,0,HB,0,0,Check-Out,8/24/15
2,0,0,BB,0,0,Check-Out,8/24/15
2,0,0,HB,0,1,Check-Out,8/24/15
2,0,0,BB,0,0,Check-Out,8/24/15
2,2,0,HB,0,2,Check-Out,8/24/15
2,0,0,BB,1,0,Check-Out,8/24/15
2,0,0,BB,0,1,Check-Out,8/24/15
2,0,0,HB,0,1,Check-Out,8/24/15
2,0,0,FB,1,0,Check-Out,8/24/15
3,0,0,HB,0,2,Check-Out,8/24/15
2,0,0,BB,0,0,Check-Out,8/24/15
2,0,0,BB,0,0,Check-Out,8/24/15
2,0,0,HB,0,0,Check-Out,8/24/15
2,0,0,BB,0,1,Check-Out,8/25/15
2,0,0,HB,0,0,Check-Out,8/25/15
2,0,0,BB,0,0,Check-Out,8/25/15
2,0,0,BB,0,1,Check-Out,8/25/15
2,0,0,BB,0,0,Check-Out,8/25/15
2,0,0,BB,0,0,Check-Out,8/25/15
2,0,0,BB,0,0,Check-Out,8/25/15
3,0,0,HB,0,1,Check-Out,8/25/15
2,1,0,FB,0,2,Check-Out,8/25/15
2,0,1,FB,0,2,Check-Out,8/25/15
2,0,0,BB,0,0,Check-Out,8/25/15
2,0,0,HB,0,1,Check-Out,8/26/15
2,0,0,HB,0,1,Check-Out,8/26/15
3,0,0,BB,0,1,Check-Out,8/26/15
2,0,0,HB,0,1,Check-Out,8/26/15
1,0,0,HB,0,1,Check-Out,8/26/15
2,0,0,BB,0,0,Canceled,8/26/15
2,0,0,BB,0,0,Check-Out,8/26/15
3,0,0,HB,0,0,Check-Out,8/26/15
3,0,0,HB,0,1,Canceled,8/26/15
2,0,0,BB,1,0,Check-Out,8/26/15
2,3,0,BB,0,3,Check-Out,8/26/15
2,0,0,HB,0,0,Check-Out,8/26/15
2,0,0,BB,0,0,Check-Out,8/26/15
2,2,0,BB,0,1,Check-Out,8/26/15
2,0,0,HB,0,2,Check-Out,8/26/15
2,0,0,SC,0,0,Check-Out,8/31/15
2,1,0,BB,0,0,Canceled,8/26/15
2,0,0,BB,0,1,Check-Out,8/27/15
2,0,0,BB,1,1,Check-Out,8/27/15
2,1,0,BB,0,2,Check-Out,8/27/15
2,0,0,BB,0,2,Check-Out,8/27/15
2,0,0,BB,1,0,Check-Out,8/27/15
3,2,0,BB,1,0,Check-Out,8/27/15
2,1,0,BB,0,1,Check-Out,10/28/15
2,0,0,BB,1,1,Check-Out,8/27/15
3,0,0,HB,0,0,Check-Out,8/27/15
2,2,0,BB,1,1,Check-Out,8/27/15
2,0,0,BB,0,0,Check-Out,8/27/15
1,0,0,BB,0,0,Canceled,8/27/15
1,0,0,BB,0,0,Check-Out,8/27/15
2,0,0,BB,0,2,Check-Out,8/27/15
2,0,0,BB,0,0,Check-Out,8/27/15
3,0,0,BB,0,0,Check-Out,8/28/15
2,0,0,HB,0,1,Check-Out,8/28/15
1,0,0,BB,0,0,Check-Out,8/28/15
1,0,0,BB,0,0,Check-Out,2/5/16
1,0,0,BB,0,0,Check-Out,3/3/16
1,0,0,BB,0,0,Check-Out,4/7/16
1,0,0,BB,0,0,Check-Out,6/2/16
1,0,0,BB,0,0,Check-Out,11/25/16
1,0,0,BB,0,0,Check-Out,4/28/17
2,0,0,BB,0,1,Check-Out,8/28/15
2,2,0,BB,0,0,Check-Out,8/28/15
1,0,0,BB,0,1,Check-Out,8/28/15
2,0,0,BB,0,2,Check-Out,8/28/15
2,0,0,BB,0,1,Check-Out,8/28/15
2,0,0,BB,0,1,Check-Out,8/28/15
2,0,0,BB,1,1,Check-Out,8/28/15
2,0,0,BB,0,0,Check-Out,8/28/15
2,1,0,BB,0,3,Check-Out,8/28/15
2,0,0,BB,0,2,Check-Out,8/28/15
3,0,0,FB,1,0,Check-Out,8/28/15
2,0,0,BB,0,0,Check-Out,8/28/15
2,0,0,BB,0,1,Check-Out,8/28/15
2,0,0,BB,0,0,Check-Out,8/28/15
2,0,1,HB,1,2,Check-Out,8/28/15
2,0,0,HB,0,1,Check-Out,8/28/15
2,0,0,BB,0,1,Check-Out,8/28/15
2,0,0,BB,0,0,Canceled,8/28/15
2,0,0,BB,0,0,Canceled,8/28/15
2,0,0,BB,0,0,Canceled,8/28/15
2,0,0,BB,0,0,Canceled,8/28/15
2,0,0,BB,0,0,Canceled,8/28/15
2,0,0,BB,0,1,Check-Out,9/11/15
1,1,0,BB,0,1,Check-Out,8/29/15
2,0,0,BB,0,0,Check-Out,8/29/15
2,0,0,HB,1,0,Check-Out,8/29/15
2,0,0,HB,0,0,Check-Out,8/29/15
2,0,0,HB,1,2,Check-Out,7/9/17
2,0,0,HB,0,2,Check-Out,8/29/15
2,0,0,BB,1,0,Check-Out,8/29/15
2,0,0,HB,0,0,Check-Out,8/29/15
2,0,0,HB,0,0,Check-Out,8/29/15
2,0,0,HB,0,0,Check-Out,8/29/15
2,0,0,HB,1,0,Check-Out,8/29/15
2,0,0,BB,0,1,Check-Out,8/29/15
2,0,1,BB,0,3,Check-Out,8/29/15
2,2,0,BB,0,0,Check-Out,8/29/15
2,0,0,BB,1,0,Check-Out,8/29/15
3,0,0,BB,0,2,Check-Out,8/29/15
2,2,0,HB,0,1,Check-Out,8/29/15
2,2,0,HB,1,1,Check-Out,8/29/15
2,1,0,FB,0,0,Check-Out,8/29/15
2,1,0,FB,0,1,Check-Out,8/29/15
2,0,0,BB,1,2,Check-Out,8/29/15
2,0,0,BB,0,1,Check-Out,8/29/15
2,0,0,BB,0,0,Check-Out,9/3/15
2,1,0,BB,0,1,Check-Out,8/29/15
2,0,0,BB,1,1,Check-Out,8/29/15
2,2,0,HB,0,3,Check-Out,8/29/15
2,0,0,BB,0,1,Check-Out,8/29/15
1,0,0,HB,0,0,Canceled,8/29/15
2,0,0,BB,0,1,Check-Out,8/29/15
2,0,0,HB,0,0,Check-Out,8/29/15
2,0,0,BB,0,0,Canceled,8/29/15
2,0,0,HB,0,2,Check-Out,8/30/15
2,0,0,BB,0,0,Check-Out,8/30/15
3,0,0,BB,0,1,Check-Out,8/30/15
2,0,0,BB,1,2,Check-Out,8/30/15
2,0,0,BB,0,0,Check-Out,8/30/15
2,1,0,HB,0,1,Check-Out,8/30/15
2,0,0,HB,0,0,Check-Out,8/30/15
2,0,0,HB,1,0,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
3,0,0,BB,0,1,Check-Out,8/30/15
2,0,0,HB,0,3,Check-Out,8/30/15
2,0,0,HB,1,0,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
2,0,0,BB,0,1,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
2,0,0,BB,0,0,Check-Out,8/30/15
2,0,0,BB,0,1,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
2,1,0,HB,0,2,Check-Out,8/30/15
2,0,0,BB,0,0,Check-Out,8/30/15
2,0,0,BB,0,0,Check-Out,8/30/15
2,0,0,BB,1,1,Check-Out,8/30/15
1,0,0,BB,0,0,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
2,2,0,FB,0,2,Check-Out,8/30/15
2,0,0,BB,0,0,Check-Out,8/30/15
2,0,0,HB,0,0,Check-Out,8/30/15
3,0,0,BB,0,2,Check-Out,8/30/15
2,0,1,HB,1,3,Check-Out,8/30/15
2,0,0,BB,0,1,Check-Out,8/30/15
2,0,0,BB,0,1,Check-Out,8/30/15
2,0,0,HB,0,0,Check-Out,8/30/15
2,0,0,HB,0,0,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
2,0,0,BB,0,2,Check-Out,8/30/15
3,0,0,BB,0,1,Check-Out,8/30/15
2,0,0,BB,0,0,Check-Out,8/30/15
2,0,0,BB,0,1,Check-Out,8/31/15
2,0,0,BB,0,0,Check-Out,8/31/15
2,0,0,BB,0,1,Check-Out,8/31/15
2,0,0,HB,0,0,Check-Out,8/31/15
2,0,1,HB,0,1,Check-Out,8/31/15
2,0,0,HB,0,1,Check-Out,8/31/15
1,0,0,BB,0,1,Check-Out,8/31/15
3,0,0,BB,1,0,Check-Out,8/31/15
2,0,0,BB,1,0,Check-Out,8/31/15
2,0,0,BB,0,1,Canceled,8/31/15
2,0,0,BB,0,1,Check-Out,8/31/15
2,0,0,HB,0,1,Check-Out,8/31/15
2,1,0,BB,1,1,Check-Out,8/31/15
2,1,0,FB,0,0,Check-Out,8/31/15
2,0,0,BB,0,1,Check-Out,8/31/15
2,0,0,BB,0,1,Check-Out,9/1/15
2,0,0,BB,0,0,Check-Out,8/31/15
2,0,0,BB,0,0,Canceled,8/31/15
2,2,1,HB,1,0,Check-Out,9/1/15
2,0,0,BB,0,1,Check-Out,9/1/15
2,0,0,BB,0,1,Check-Out,9/1/15
2,0,0,BB,0,1,Check-Out,9/1/15
3,0,0,HB,0,3,Check-Out,9/1/15
2,0,0,BB,0,1,Check-Out,9/1/15
2,0,0,BB,1,1,Check-Out,9/1/15
2,0,0,HB,0,1,Check-Out,9/1/15
2,0,0,BB,1,0,Check-Out,9/1/15
1,0,0,HB,0,0,Check-Out,9/1/15
2,0,0,HB,0,2,Check-Out,9/1/15
2,0,0,BB,1,1,Check-Out,9/1/15
2,0,0,BB,0,2,Check-Out,9/1/15
2,0,0,BB,0,0,Check-Out,9/1/15
2,0,0,HB,0,3,Check-Out,9/1/15
2,0,0,BB,0,3,Check-Out,10/31/16
2,0,0,BB,0,0,Check-Out,11/1/16
2,0,0,BB,0,2,Check-Out,9/1/15
2,0,0,BB,0,1,Check-Out,9/1/15
2,0,0,HB,0,0,Check-Out,9/1/15
2,0,0,BB,0,3,Check-Out,9/1/15
2,0,0,BB,0,0,Check-Out,9/11/15
3,0,0,BB,0,1,Check-Out,9/2/15
2,0,0,BB,1,0,Check-Out,9/2/15
2,0,0,BB,1,0,Check-Out,9/2/15
2,0,0,BB,1,2,Check-Out,4/17/17
2,0,0,HB,0,0,Check-Out,9/2/15
3,0,0,HB,0,2,Check-Out,9/2/15
2,0,0,BB,1,0,Check-Out,9/2/15
2,0,0,HB,1,2,Check-Out,9/2/15
2,0,0,HB,0,2,Check-Out,9/2/15
2,0,0,HB,0,1,Check-Out,9/2/15
2,0,0,BB,1,0,Check-Out,9/2/15
2,0,0,BB,0,1,Check-Out,9/2/15
